tag;description
Fast & Furious / The Fast and the Furious;Fast & Furious ist ein Action-Franchise rund um illegale Straßenrennen, Heist-Missionen und eine tief verwurzelte Familie. Ursprünglich als Film über Underground-Racing gestartet, entwickelte sich das Franchise zu einem globalen Action-Phänomen mit spektakulären Stunts, Verfolgungsjagden, internationalem Terrorismus und Spionage. Im Zentrum stehen Dominic Toretto und seine Crew, die alles füreinander tun – getreu dem Motto: „Family comes first.“
John Wick;John Wick ist ein modernes Action-Franchise mit Keanu Reeves in der Hauptrolle als ehemaliger Auftragskiller, der nach dem Tod seines Hundes – einem letzten Geschenk seiner verstorbenen Frau – in die kriminelle Unterwelt zurückkehrt. Die Filme sind bekannt für ihre stilisierte Action, eleganten Choreografien, düstere Atmosphäre und das geheime Netzwerk von Killern rund um das Continental-Hotel. Das Franchise wurde zu einem weltweiten Erfolg und erweitert sich stetig durch Spin-offs, Serien und Spiele.
The Witcher;The Witcher ist ein Fantasy-Franchise basierend auf der Buchreihe des polnischen Autors Andrzej Sapkowski. Es dreht sich um den Hexer Geralt von Riva – ein mutierter Monsterjäger, der in einer düsteren, von Magie und politischen Intrigen durchzogenen Welt sein Schicksal sucht. Die Reihe wurde durch die erfolgreichen Videospiele von CD Projekt Red und die Netflix-Serie international bekannt.
Resident Evil;Resident Evil ist ein Survival-Horror-Franchise, das ursprünglich als Videospielreihe von Capcom startete. Die Geschichte dreht sich um den Ausbruch biologischer Waffen, insbesondere des T-Virus, der Menschen in Zombies und andere Monster verwandelt. Im Zentrum stehen Organisationen wie Umbrella, S.T.A.R.S. und Charaktere wie Leon S. Kennedy, Jill Valentine und Chris Redfield. Neben den erfolgreichen Spielen entwickelte sich Resident Evil zu einem riesigen Multimedia-Franchise mit Filmen, Serien, Romanen und Comics.
The Last of Us;The Last of Us ist ein postapokalyptisches Action-Adventure-Franchise von Naughty Dog, das für seine emotionale Tiefe, filmreife Inszenierung und starke Charaktere bekannt ist. Die Geschichte spielt in einer Welt, die von einem mutierten Pilzvirus verwüstet wurde, der Menschen in aggressive Kreaturen verwandelt. Im Mittelpunkt stehen der Schmuggler Joel und das junge Mädchen Ellie, deren Reise durch die zerstörten USA von Verlust, Hoffnung, Gewalt und Menschlichkeit geprägt ist. Das Franchise umfasst preisgekrönte Videospiele, eine gefeierte HBO-Serie und geplante Erweiterungen.
Dune;Dune ist ein episches Science-Fiction-Franchise, das auf dem gleichnamigen Roman von Frank Herbert basiert. Es erzählt die Geschichte des jungen Paul Atreides, dessen Adelsfamilie die Kontrolle über den Wüstenplaneten Arrakis erhält – die einzige Quelle des begehrten Spice. Intrigen, Machtkämpfe und spirituelle Entwicklungen prägen die Saga, die tief in politische, ökologische und philosophische Themen eintaucht. Das Franchise umfasst Romane, Verfilmungen, Serienadaptionen und Videospiele.
Warrior Cats;Warrior Cats ist eine erfolgreiche Fantasy-Buchreihe des Autorenteams Erin Hunter. Die Geschichte folgt wilden Katzen, die in Clans organisiert sind und in den Wäldern leben. Die Serie behandelt Themen wie Loyalität, Ehre, Krieg, Freundschaft und das Überleben in der Natur. Sie ist besonders bei jüngeren Lesern beliebt und wurde in viele Sprachen übersetzt. Das Franchise umfasst zahlreiche Bücher, Special Editions und Kurzgeschichten.
The Hunger Games;The Hunger Games ist ein dystopisches Science-Fiction-Franchise, das auf der Romantrilogie von Suzanne Collins basiert. Die Geschichte spielt in der Zukunft in einem totalitären Staat namens Panem, der aus dem zerstörten Nordamerika hervorgegangen ist. Jedes Jahr werden Jugendliche zur Teilnahme an den grausamen Hungerspielen gezwungen, bei denen nur einer überleben darf. Im Mittelpunkt steht Katniss Everdeen, die unfreiwillig zur Symbolfigur einer Revolution gegen das Regime wird. Die Reihe wurde international bekannt durch die erfolgreichen Buchverkäufe und Verfilmungen.
Scream;Scream ist ein Slasher-Horror-Franchise, das 1996 mit dem gleichnamigen Film von Wes Craven begann. Die Geschichte dreht sich um eine Reihe von Morden, die von maskierten Killern unter dem Alias Ghostface begangen werden. Die Filme verbinden klassische Horror-Elemente mit Meta-Humor und Selbstironie und sind bekannt für ihre Spannung, überraschenden Wendungen und cleveren Dialoge. Das Franchise umfasst mehrere Kinofilme sowie eine TV-Adaption.
Avatar – Der Herr der Elemente / Avatar: The Last Airbender;Avatar – Der Herr der Elemente ist ein animiertes Fantasy-Franchise, das in einer Welt spielt, in der Menschen die Elemente Wasser, Erde, Feuer und Luft bändigen können. Im Mittelpunkt steht Aang, der letzte Überlebende der Luftnomaden und der Avatar, der alle vier Elemente beherrschen kann. Er muss die Welt vor der Herrschaft der Feuernation retten. Das Franchise umfasst beliebte Animationsserien, eine Realverfilmung, Comics, Romane und Videospiele.
Saw / Jigsaw;Jigsaw ist Teil des Saw-Franchise, einer der bekanntesten Horrorfilmreihen der modernen Kinogeschichte. Im Mittelpunkt steht der Serienkiller John Kramer, auch bekannt als Jigsaw, der seine Opfer in tödliche Spiele zwingt, in denen sie sich selbst befreien müssen – meist durch grausame Entscheidungen und körperliche Schmerzen. Die Filme sind bekannt für ihre brutale Gewalt, psychologische Spannung und die komplexe, verschachtelte Handlung. Das Franchise wurde mit zahlreichen Fortsetzungen und Spin-offs erweitert.
Stranger Things;Stranger Things ist ein Mystery- und Science-Fiction-Franchise, das in den 1980er-Jahren spielt. Im Mittelpunkt steht eine Gruppe von Kindern aus der Kleinstadt Hawkins, die mit geheimen Regierungsexperimenten, übernatürlichen Bedrohungen und der Parallelwelt namens Upside Down konfrontiert werden. Die Serie kombiniert Nostalgie, Horror, Freundschaft und übernatürliche Elemente und entwickelte sich zu einem der populärsten Streaming-Hits der letzten Jahre.
